"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
1506,"fang nag ham sak","onset","AE->F; IH->S","AE","FS"
766,"fam kass hang nag","onset","AE->F; IH->S","AE","FS"
151,"mag sak hang fan","onset","AE->F; IH->S","AE","FS"
1789,"sang gam fan hak","onset","AE->F; IH->S","AE","FS"
2457,"gan mang fak hass","onset","AE->F; IH->S","AE","FS"
1608,"fan sak gang ham","onset","AE->F; IH->S","AE","FS"
2554,"fak sam nag hang","onset","AE->F; IH->S","AE","FS"
2427,"mang han fak gass","onset","AE->F; IH->S","AE","FS"
912,"gam sang han fak","onset","AE->F; IH->S","AE","FS"
2673,"sag ham fang nak","onset","AE->F; IH->S","AE","FS"
1422,"sam nag hak fang","onset","AE->F; IH->S","AE","FS"
211,"hag kam fass nang","onset","AE->F; IH->S","AE","FS"
824,"mag kass han fang","onset","AE->F; IH->S","AE","FS"
354,"kang fan mass hag","onset","AE->F; IH->S","AE","FS"
